revid,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
395521877,Stub,0.007552626181818251,0.007485035616965237,0.0016718694722443793,0.002301514954811661,0.03833155994526718,0.9426573938288934
696310078,Stub,0.004772520984192016,0.004568659602274883,0.0009181285116823194,0.0013982988457446268,0.009893124619818864,0.9784492674362874
719237570,Stub,0.004654476049041133,0.006409116915030387,0.000990086702447518,0.002168058169408606,0.009363502657092512,0.9764147595069798
747227236,Stub,0.01017791697197912,0.012518068817736504,0.0014907078617887022,0.003219860182748167,0.041253716669598754,0.9313397294961488
797826672,Stub,0.01057684926128949,0.01332445147687131,0.001966751232360364,0.004272834327915254,0.063362599614904,0.9064965140866595
800277980,Start,0.07051706649579206,0.03341374728094358,0.004420423036436266,0.006997607734050913,0.8298119327806875,0.054839222672089474
825090349,Stub,0.01298846933745116,0.01636573325148014,0.0023980741172198563,0.004524075954635116,0.13977834916399462,0.8239452981752191
826516065,Stub,0.020119423682731077,0.02294258685845247,0.002130846717671229,0.004705237080295008,0.16584223077165708,0.7842596748891931
867840089,Stub,0.008417873576741047,0.012090359833782986,0.0018042915145570278,0.004071457943654247,0.046094526070542326,0.9275214910607225
872461806,Stub,0.0047242995848430685,0.004571209024864361,0.0009282460571652145,0.0014002822077089328,0.009271511615078356,0.9791044515103402
872513852,Stub,0.004616761743308938,0.004456659139619942,0.0009023659977975206,0.0013679630086992263,0.009717383810471361,0.9789388663001032
898985019,Stub,0.008314710199113359,0.01084981000998076,0.0015944335794831346,0.0026707181802788607,0.046828406525521726,0.9297419215056221
901844540,Stub,0.01642826420578979,0.020821011095302225,0.0028141700419012866,0.0046122355978591035,0.21066781363414577,0.7446565054250018
904399990,Stub,0.007121208887777635,0.011023182006281424,0.001418978522321101,0.0032105307798388468,0.02256435412798043,0.9546617456758006
905601335,Stub,0.012376386457180606,0.015411380087105598,0.0017474616663007714,0.0033907234797658763,0.09122781572152643,0.8758462325881208
918811425,Stub,0.006206208276565701,0.009610390141474008,0.0013022062063028673,0.0027629765071390177,0.02823926162944553,0.9518789572390729
919377968,Stub,0.03190836523506236,0.06692530691082026,0.0039605250577676105,0.011300549985411615,0.3467590005129645,0.5391462522979736
919549108,Stub,0.0062015669949731685,0.009609179692809423,0.0013020421907176268,0.003077623236516758,0.028050521784113533,0.9517590661008697
919576350,Stub,0.006800289746220771,0.010546223423522412,0.001427904770878339,0.00302541165295883,0.028587665278493244,0.9496125051279264
919581650,Stub,0.006479813699235489,0.010082843015608382,0.0013820804336516568,0.0029816440242106433,0.02750569259184808,0.9515679262354457
919609685,Stub,0.0062108281162055485,0.009630570365799014,0.0013031755556355091,0.0027650332393372957,0.02750286626696269,0.95258752645606
930031820,Stub,0.006814511899996981,0.01058365708508094,0.0014441892988718975,0.0031377713607040635,0.033122769491694945,0.9448971008636511
931452659,Stub,0.0056771649911036065,0.008804494255645052,0.0011921580390023671,0.002579002351725345,0.0193806267800484,0.9623665535824751
931641150,Start,0.02869725183800926,0.06243943609943135,0.00400676031834473,0.009641009596181012,0.7311291878173662,0.16408635433066734
934134220,Stub,0.00641816683087844,0.008065740610818077,0.0012080732375784622,0.0023903270938859214,0.015851984073363166,0.9660657081534759
935053725,Start,0.08160970268610689,0.22128266792414217,0.005583154979875139,0.048007907511207905,0.5824522367274773,0.061064330171190555
935489367,Stub,0.009173566988148104,0.00968256699721336,0.0016858512750298179,0.002957676473122277,0.09382994351672204,0.8826703947497645
942771137,Start,0.07538664118886466,0.14525848096396485,0.0038746151688931535,0.007167389483728457,0.7553178470626081,0.01299502613194082
944462983,Stub,0.0064769913368657155,0.007481706742950447,0.0011170268374160804,0.00226324784417179,0.013119600937417491,0.9695414263011787
946357029,Start,0.02531757546340031,0.08519518707339575,0.004200980473047652,0.008252129233330515,0.6299797205439147,0.24705440721291097
